Currency,YYYYMMDD_HHMMSS,Open,High,Low,Close,Volume,WAP,Count,Minute,Tesla3,Tesla6,Tesla9,Decision,EXECUTE
EUR,20200707  14:40:00,1.13015,1.1304,1.13015,1.13035,399,1.13031,134,40,-0.0007965,-0.002541,-0.002007,NO,NO
EUR,20200707  14:45:00,1.1303,1.1304,1.1302,1.1303,246,1.13034,105,45,-0.0008625,-0.00243,-0.0011025,NO,NO
EUR,20200707  14:50:00,1.13025,1.1303,1.1301,1.1302,262,1.13019,114,50,-0.0012075,-0.002778,-0.0008325,NO,NO
EUR,20200707  14:55:00,1.13025,1.1304,1.1302,1.1303,873,1.13033,287,55,-0.0011655,-0.001983,0.0001395,NO,NO
EUR,20200707  15:00:00,1.1303,1.1304,1.13015,1.13015,1172,1.13028,371,0,-0.0013065,-0.00141,-4.5E-05,NO,NO
EUR,20200707  15:05:00,1.1302,1.1304,1.13015,1.1302,645,1.130255,162,5,-0.001317,-0.000939,-0.000108,BUY,NO
EUR,20200707  15:10:00,1.1302,1.13025,1.12995,1.13,374,1.1301,96,10,-0.001497,-0.000771,-0.0005895,BUY,NO
EUR,20200707  15:15:00,1.13,1.1301,1.12995,1.13,391,1.13002,150,15,-0.0013635,-0.000651,-0.0007965,NO,NO
EUR,20200707  15:20:00,1.13,1.1301,1.12995,1.13005,215,1.130035,93,20,-0.000999,-0.000618,-0.0004635,BUY,EXECUTE
EUR,20200707  15:25:00,1.13005,1.13015,1.12995,1.13,139,1.13002,59,25,-0.0007515,-0.000636,-0.000297,BUY,NO
EUR,20200707  15:30:00,1.12995,1.13,1.1298,1.1298,488,1.129875,168,30,-0.0006555,-0.000933,-0.0006075,NO,NO
EUR,20200707  15:35:00,1.1298,1.1298,1.12955,1.12955,716,1.129655,236,35,-0.0007635,-0.001407,-0.001197,NO,NO
EUR,20200707  15:40:00,1.12955,1.12965,1.1295,1.1296,418,1.12957,140,40,-0.000867,-0.001425,-0.0011745,NO,NO
EUR,20200707  15:45:00,1.1296,1.1296,1.1293,1.1294,385,1.129485,126,45,-0.00096,-0.001482,-0.001062,NO,NO
EUR,20200707  15:50:00,1.12935,1.12945,1.129,1.12915,1342,1.129215,330,50,-0.0012585,-0.001989,-0.0015525,NO,NO
EUR,20200707  15:55:00,1.12915,1.1294,1.12885,1.12895,976,1.12916,298,55,-0.0012975,-0.001986,-0.0011565,NO,NO
EUR,20200707  16:00:00,1.1289,1.12905,1.12875,1.12875,394,1.128865,143,0,-0.0015585,-0.002475,-0.001773,NO,NO
EUR,20200707  16:05:00,1.12875,1.12885,1.12875,1.1288,255,1.12878,88,5,-0.001587,-0.0024,-0.0014445,NO,NO
EUR,20200707  16:10:00,1.1288,1.12885,1.1287,1.1288,207,1.128785,68,10,-0.0015105,-0.002067,-0.000792,NO,NO
EUR,20200707  16:15:00,1.1288,1.1288,1.1286,1.1286,120,1.128675,43,15,-0.001575,-0.001935,-0.000801,NO,NO
EUR,20200707  16:20:00,1.1286,1.1289,1.1286,1.1289,129,1.12871,46,20,-0.0014235,-0.001554,-0.0002385,NO,NO
EUR,20200707  16:25:00,1.12885,1.129,1.12885,1.12895,71,1.12895,32,25,-0.000996,-0.000555,0.000765,BUY,NO
EUR,20200707  16:30:00,1.12895,1.1292,1.12895,1.12905,193,1.12907,64,30,-0.0006915,0.000156,0.001044,BUY,NO
EUR,20200707  16:35:00,1.1291,1.12915,1.12895,1.12915,235,1.129025,63,35,-0.0005475,0.000306,0.0006255,BUY,NO
EUR,20200707  16:40:00,1.1291,1.1292,1.1291,1.12915,132,1.12917,47,40,-0.000225,0.000945,0.0008325,NO,NO
EUR,20200707  16:45:00,1.1291,1.12915,1.12895,1.12905,49,1.129045,22,45,-0.0001635,0.000738,-3.15E-05,NO,NO
EUR,20200707  16:50:00,1.12905,1.12905,1.12885,1.129,89,1.128955,41,50,-6E-05,0.00042,-0.000441,NO,NO
EUR,20200707  16:55:00,1.12895,1.12925,1.12895,1.1292,109,1.129145,37,55,0.000297,0.000705,0.0003465,NO,NO
EUR,20200708  09:30:00,1.1324,1.13375,1.13235,1.13355,3987,1.13323,1130,30,0.0053445,0.010299,0.0149445,BUY,NO
EUR,20200708  09:35:00,1.1336,1.1346,1.1336,1.13435,4919,1.134,1444,35,0.006315,0.011871,0.0140625,BUY,NO
EUR,20200708  09:40:00,1.13435,1.13465,1.13405,1.1346,2384,1.13435,829,40,0.006684,0.012654,0.010863,NO,NO
EUR,20200708  09:45:00,1.1346,1.13515,1.1344,1.1347,2708,1.134765,928,45,0.0070965,0.013719,0.0075015,NO,NO
EUR,20200708  09:50:00,1.1347,1.1351,1.1345,1.1347,2487,1.134835,794,50,0.0070755,0.013815,0.0026955,NO,NO
EUR,20200708  09:55:00,1.1347,1.13485,1.1342,1.1347,3046,1.13455,991,55,0.0065955,0.010695,0.000225,NO,NO
EUR,20200708  10:00:00,1.13475,1.135,1.1344,1.1347,1586,1.134735,562,0,0.006789,0.008166,0.000396,NO,NO
EUR,20200708  10:05:00,1.13465,1.1358,1.13465,1.1352,3597,1.135455,1069,5,0.0076875,0.006657,0.0026415,SELL,NO
EUR,20200708  10:10:00,1.13515,1.13595,1.13515,1.13585,2057,1.13558,622,10,0.0078015,0.003585,0.0024705,SELL,NO
EUR,20200708  10:15:00,1.1358,1.13585,1.1351,1.1353,2014,1.135405,605,15,0.0063735,0.002202,0.00117,SELL,NO
EUR,20200708  10:20:00,1.13535,1.13605,1.13505,1.13595,1471,1.135555,466,20,0.005067,0.002232,0.0009405,SELL,NO
EUR,20200708  10:25:00,1.1359,1.136,1.13515,1.1353,1915,1.1356,659,25,0.0035025,0.002109,0.0003645,SELL,NO
