Currency,YYYYMMDD_HHMMSS,Open,High,Low,Close,Volume,WAP,Count,Minute,Tesla3,Tesla6,Tesla9,Decision,EXECUTE
CHF,20200629  13:20:00,1.0525,1.0529,1.0525,1.0529,63,1.05274,23,20,-0.00138,-0.000402,0.000549,BUY,NO
CHF,20200629  13:25:00,1.053,1.0532,1.0529,1.0532,88,1.05304,32,25,-0.000711,0.000684,0.00153,BUY,NO
CHF,20200629  13:30:00,1.0532,1.0532,1.0529,1.0529,82,1.05302,36,30,-0.000363,0.000846,0.00099,BUY,NO
CHF,20200629  13:35:00,1.0529,1.0529,1.0528,1.0528,81,1.05284,40,35,-0.000366,0.00078,-0.000243,NO,NO
CHF,20200629  13:40:00,1.0528,1.0528,1.0526,1.0526,33,1.05274,20,40,-0.000201,0.000366,-0.000612,NO,NO
CHF,20200629  13:45:00,1.0526,1.0526,1.0525,1.0526,55,1.05254,25,45,-0.000258,-0.00018,-0.001332,NO,NO
CHF,20200629  13:50:00,1.0525,1.0525,1.0522,1.0522,36,1.05233,22,50,-0.000405,-0.000996,-0.001638,SELL,NO
CHF,20200629  13:55:00,1.0523,1.0525,1.0523,1.0525,90,1.05238,31,55,-0.000162,-0.001266,-0.000837,NO,NO
CHF,20200629  14:00:00,1.0524,1.0525,1.0523,1.0525,55,1.05237,22,0,-0.000261,-0.001296,-0.000459,NO,NO
CHF,20200629  14:05:00,1.0526,1.0526,1.0525,1.0526,34,1.05252,20,5,-0.000114,-0.000936,0.000414,NO,NO
CHF,20200629  14:10:00,1.0527,1.0529,1.0527,1.0529,44,1.0528,18,10,6.6E-05,3.6E-05,0.00144,NO,NO
CHF,20200629  14:15:00,1.0529,1.0529,1.0528,1.0529,80,1.05284,28,15,-8.1E-05,0.000546,0.001161,BUY,NO
CHF,20200629  14:20:00,1.0528,1.0529,1.0527,1.0528,39,1.0528,28,20,-0.000132,0.000726,0.000603,NO,NO
CHF,20200629  14:25:00,1.0529,1.0529,1.0527,1.0527,26,1.0528,21,25,-0.000132,0.000948,0.000216,NO,NO
CHF,20200629  14:30:00,1.0528,1.0528,1.0527,1.0528,64,1.05279,25,30,6E-06,0.000936,-7.2E-05,NO,NO
CHF,20200629  14:35:00,1.0528,1.0529,1.0526,1.0526,65,1.05279,41,35,0.000213,0.000654,-6.3E-05,NO,NO
CHF,20200629  14:40:00,1.0526,1.0529,1.0526,1.0529,75,1.05277,29,40,0.000327,0.00033,-9E-05,NO,NO
CHF,20200629  14:45:00,1.0529,1.053,1.0529,1.053,42,1.05295,17,45,0.000654,0.000504,0.000585,NO,NO
CHF,20200629  14:50:00,1.053,1.0531,1.053,1.0531,36,1.05305,16,50,0.00078,0.000576,0.00081,NO,NO
CHF,20200629  14:55:00,1.0531,1.0537,1.0531,1.0535,1165,1.05346,243,55,0.001131,0.001566,0.002052,BUY,NO
CHF,20200629  15:00:00,1.0535,1.0535,1.053,1.0531,176,1.0532,79,0,0.000681,0.000972,0.000513,NO,NO
CHF,20200629  15:05:00,1.0531,1.0532,1.053,1.0531,45,1.05306,30,5,0.000384,0.000654,-0.000378,NO,NO
CHF,20200629  15:10:00,1.0531,1.0532,1.0531,1.0531,24,1.05317,15,10,0.000432,0.000828,-8.1E-05,NO,NO
CHF,20200629  15:15:00,1.0532,1.0533,1.0532,1.0533,51,1.05323,26,15,0.000507,0.000816,2.7E-05,NO,NO
CHF,20200629  15:20:00,1.0534,1.0534,1.0534,1.0534,41,1.0534,16,20,0.000726,0.000822,0.000846,BUY,NO
CHF,20200629  15:25:00,1.0534,1.0535,1.0534,1.0535,46,1.05348,17,25,0.000831,0.000756,0.000954,NO,NO
CHF,20200629  15:30:00,1.0535,1.0536,1.0534,1.0536,80,1.05351,37,30,0.000822,0.000762,0.000684,SELL,NO
CHF,20200629  15:35:00,1.0536,1.0536,1.0532,1.0532,78,1.05338,28,35,0.000588,0.000378,-9E-05,SELL,NO
CHF,20200629  15:40:00,1.0532,1.0534,1.0531,1.0534,55,1.05319,21,40,0.000159,6E-05,-0.000909,SELL,NO
CHF,20200629  15:45:00,1.0533,1.0534,1.0533,1.0534,20,1.05339,10,45,0.00027,0.00042,1.9984E-16,NO,NO
CHF,20200629  15:50:00,1.0535,1.0535,1.0534,1.0534,51,1.05345,20,50,0.000309,0.000312,0.000297,NO,NO
CHF,20200629  15:55:00,1.0534,1.0536,1.0532,1.0532,111,1.05342,45,55,0.000237,3.6E-05,0.000243,NO,NO
CHF,20200629  16:00:00,1.0532,1.0534,1.0532,1.0534,67,1.05323,25,0,7.8E-05,-0.00051,-0.000477,NO,NO
CHF,20200629  16:05:00,1.0535,1.0535,1.0535,1.0535,4,1.0535,3,5,0.000342,0.000264,0.000459,NO,NO
CHF,20200629  16:10:00,1.0534,1.0535,1.0534,1.0534,18,1.05348,14,10,0.000192,0.00027,0.000288,BUY,NO
CHF,20200629  16:15:00,1.0535,1.0535,1.0535,1.0535,3,1.0535,3,15,0.000114,0.000354,0.000333,NO,NO
CHF,20200629  16:20:00,1.0535,1.0536,1.0535,1.0535,5,1.05352,5,20,9.3E-05,0.000378,0.000333,NO,NO
CHF,20200629  16:25:00,1.0536,1.0536,1.0536,1.0536,1,1.0536,1,25,0.000252,0.000546,0.00036,NO,NO
